file_name;a–o;MSPA-class_color;FGdata_pixels_porc;BGarea
mb_full_2009_8_1_1_1.txt;2009;CORE(l) [green];--/--;0
mb_full_2009_8_1_1_1.txt;2009;ISLET [brown];0.56/ 0.29;467954
mb_full_2009_8_1_1_1.txt;2009;PERFORATION [blue];2.63/ 1.38;302978
mb_full_2009_8_1_1_1.txt;2009;EDGE [black];5.61/ 2.94;685065
mb_full_2009_8_1_1_1.txt;2009;LOOP [yellow];0.00/ 0.00;0
mb_full_2009_8_1_1_1.txt;2009;BRIDGE [red];0.39/ 0.21;641169
mb_full_2009_8_1_1_1.txt;2009;BRANCH [orange];1.52/ 0.80;4015664
mb_full_2009_8_1_1_1.txt;2009;Background [grey];--/47.49;851862/709820466
mb_full_2009_8_1_1_1.txt;2009;Missing [white];45.38;128/1242037604
mb_full_2009_8_1_1_1.txt;2009;Opening [grey];87.57 Integrity;850208/111378488
mb_full_2009_8_1_1_1.txt;2009;Core-Opening [darkgrey];--/ 5.05;577493/75414560
mb_full_2009_8_1_1_1.txt;2009;Border-Opening [grey];--/ 2.41;272715/35963928
mb_full_2010_8_1_1_1.txt;2010;CORE(s) [green];--/--;0
mb_full_2010_8_1_1_1.txt;2010;CORE(m) [green];88.89/46.70;935541
mb_full_2010_8_1_1_1.txt;2010;CORE(l) [green];--/--;0
mb_full_2010_8_1_1_1.txt;2010;ISLET [brown];0.58/ 0.31;485707
mb_full_2010_8_1_1_1.txt;2010;PERFORATION [blue];2.78/ 1.46;314796
mb_full_2010_8_1_1_1.txt;2010;EDGE [black];5.74/ 3.02;707538
mb_full_2010_8_1_1_1.txt;2010;LOOP [yellow];0.00/ 0.00;0
mb_full_2010_8_1_1_1.txt;2010;BRIDGE [red];0.42/ 0.22;677020
mb_full_2010_8_1_1_1.txt;2010;BRANCH [orange];1.59/ 0.83;4190261
mb_full_2010_8_1_1_1.txt;2010;Background [grey];--/47.46;889896/709429205
mb_full_2010_8_1_1_1.txt;2010;Missing [white];45.38;135/1242037644
mb_full_2010_8_1_1_1.txt;2010;Opening [grey];84.16 Integrity;888175/147768980
mb_full_2010_8_1_1_1.txt;2010;Core-Opening [darkgrey];--/ 5.56;607680/83176328
mb_full_2010_8_1_1_1.txt;2010;Border-Opening [grey];--/ 4.32;280495/64592652
mb_full_2011_8_1_1_1.txt;2011;CORE(s) [green];--/--;0
mb_full_2011_8_1_1_1.txt;2011;CORE(m) [green];88.58/46.69;966030
mb_full_2011_8_1_1_1.txt;2011;CORE(l) [green];--/--;0
mb_full_2011_8_1_1_1.txt;2011;ISLET [brown];0.60/ 0.31;503966
mb_full_2011_8_1_1_1.txt;2011;PERFORATION [blue];3.01/ 1.59;328424
mb_full_2011_8_1_1_1.txt;2011;EDGE [black];5.72/ 3.02;730261
mb_full_2011_8_1_1_1.txt;2011;LOOP [yellow];0.00/ 0.00;0
mb_full_2011_8_1_1_1.txt;2011;BRIDGE [red];0.44/ 0.23;715520
mb_full_2011_8_1_1_1.txt;2011;BRANCH [orange];1.64/ 0.86;4335944
mb_full_2011_8_1_1_1.txt;2011;Background [grey];--/47.29;945988/706914704
mb_full_2011_8_1_1_1.txt;2011;Missing [white];45.38;134/1242037608
mb_full_2011_8_1_1_1.txt;2011;Opening [grey];83.98 Integrity;944246/150262608
mb_full_2011_8_1_1_1.txt;2011;Core-Opening [darkgrey];--/ 7.72;659225/115371240
mb_full_2011_8_1_1_1.txt;2011;Border-Opening [grey];--/ 2.33;285021/34891368
mb_full_2012_8_1_1_1.txt;2012;CORE(s) [green];--/--;0
mb_full_2012_8_1_1_1.txt;2012;CORE(m) [green];88.78/46.74;922134
mb_full_2012_8_1_1_1.txt;2012;CORE(l) [green];--/--;0
mb_full_2012_8_1_1_1.txt;2012;ISLET [brown];0.55/ 0.29;442699
mb_full_2012_8_1_1_1.txt;2012;PERFORATION [blue];3.09/ 1.62;332988
mb_full_2012_8_1_1_1.txt;2012;EDGE [black];5.62/ 2.96;704963
mb_full_2012_8_1_1_1.txt;2012;LOOP [yellow];0.00/ 0.00;0
mb_full_2012_8_1_1_1.txt;2012;BRIDGE [red];0.41/ 0.21;647692
mb_full_2012_8_1_1_1.txt;2012;BRANCH [orange];1.57/ 0.82;4159290
mb_full_2012_8_1_1_1.txt;2012;Background [grey];--/47.35;867095/707817850
mb_full_2012_8_1_1_1.txt;2012;Missing [white];45.38;130/1242037605
mb_full_2012_8_1_1_1.txt;2012;Opening [grey];83.87 Integrity;865442/151368720
mb_full_2012_8_1_1_1.txt;2012;Core-Opening [darkgrey];--/ 6.65;642003/99438064
mb_full_2012_8_1_1_1.txt;2012;Border-Opening [grey];--/ 3.47;223439/51930656
mb_full_2013_8_1_1_1.txt;2013;CORE(s) [green];--/--;0
mb_full_2013_8_1_1_1.txt;2013;CORE(m) [green];88.59/46.50;934715
mb_full_2013_8_1_1_1.txt;2013;CORE(l) [green];--/--;0
mb_full_2013_8_1_1_1.txt;2013;ISLET [brown];0.56/ 0.29;449177
mb_full_2013_8_1_1_1.txt;2013;PERFORATION [blue];3.05/ 1.60;331280
mb_full_2013_8_1_1_1.txt;2013;EDGE [black];5.79/ 3.04;710407
mb_full_2013_8_1_1_1.txt;2013;LOOP [yellow];0.00/ 0.00;0
mb_full_2013_8_1_1_1.txt;2013;BRIDGE [red];0.42/ 0.22;664376
mb_full_2013_8_1_1_1.txt;2013;BRANCH [orange];1.59/ 0.84;4195217
mb_full_2013_8_1_1_1.txt;2013;Background [grey];--/47.51;885183/710198367
mb_full_2013_8_1_1_1.txt;2013;Missing [white];45.38;132/1242037628
mb_full_2013_8_1_1_1.txt;2013;Opening [grey];83.35 Integrity;883463/156755392
